Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
38.89937858,42.24979632,-70.96167457,1373.732939,1344.719116,113.1699982,197.6999969,4.458798077,3.790092468,2.5,24
39.89867816,42.24882571,-70.96208562,1367.309607,1338.293091,113.1299973,197.6999969,4.571328466,3.790092468,2.5,25
40.90177176,42.24786077,-70.96249772,1360.059235,1331.040039,113.0599976,197.6999969,4.68502043,3.790092468,2.5,26
41.90000498,42.24688499,-70.96291029,1353.895438,1324.873535,113.0699997,197.6999969,4.798285553,3.790092468,2.5,26
42.90315327,42.24591586,-70.96333398,1347.673159,1318.64856,113,197.6999969,4.911409424,3.790092468,2.5,26
43.90472462,42.24494476,-70.96374363,1341.118359,1312.091064,112.9899979,197.6000061,5.024671677,3.790092468,2.5,25
44.88984201,42.24397523,-70.96416552,1334.12423,1305.094238,113.0400009,197.6999969,5.137803885,3.790092468,2.5,25
45.89458092,42.24300751,-70.96458983,1327.307222,1298.274536,112.9599991,197.6999969,5.25082272,3.790092468,2.5,25
46.90132097,42.24203833,-70.96500346,1320.7949,1291.759521,113.0199966,197.6999969,5.363402945,3.790092468,2.5,25
47.90986904,42.2410746,-70.96542263,1313.800145,1284.762085,113.0100021,197.6000061,5.476521391,3.790092468,2.5,25
48.89690196,42.24010415,-70.96583483,1306.80284,1277.762085,113.0999985,197.5,5.589610025,3.790092468,2.5,25
49.89860066,42.23913362,-70.96624547,1299.526727,1270.483276,113.0500031,197.3999939,5.702823714,4.056087494,2.780668497,24
50.90185186,42.23816417,-70.96666573,1292.937383,1263.891235,113.0699997,197.6999969,5.816084756,3.790092468,2.561592817,24
51.90209587,42.23719546,-70.96709095,1286.892108,1257.843262,113.1800003,197.5,5.929636672,3.790092468,2.591208458,25
52.89967805,42.23622047,-70.96750116,1279.825235,1250.773682,113.0699997,197.6000061,6.042568626,3.790092468,2.819671631,25
53.90248774,42.23525786,-70.96793855,1271.991987,1242.937744,113,198,6.15548319,4.160432816,3.706910133,25
54.9074954,42.23429227,-70.9683631,1264.236499,1235.179565,113.1299973,197.8000031,6.268459113,4.383610249,4.281003952,25
55.89808217,42.23332323,-70.96877554,1258.414608,1229.35498,113.1100006,197.8000031,6.38157859,3.879794836,3.540599823,25
56.90820409,42.23235481,-70.96919635,1251.535102,1222.472778,113.1399994,197.8000031,6.495088157,3.790092468,3.515790701,25
