E211  (10.96%)               
   1.00000  0.00000
   0.99661  0.00083
   0.98698  0.00349
   0.97215  0.00790
   0.95287  0.01337
   0.92926  0.01912
   0.90115  0.02488
   0.86867  0.03076
   0.83226  0.03676
   0.79235  0.04280
   0.74945  0.04877
   0.70407  0.05457
   0.65674  0.06008
   0.60804  0.06518
   0.55854  0.06971
   0.50883  0.07350
   0.45942  0.07633
   0.41073  0.07801
   0.36317  0.07847
   0.31712  0.07762
   0.27292  0.07547
   0.23088  0.07207
   0.19136  0.06758
   0.15474  0.06214
   0.12140  0.05585
   0.09165  0.04885
   0.06576  0.04127
   0.04396  0.03325
   0.02640  0.02497
   0.01320  0.01668
   0.00444  0.00870
   0.00018  0.00159
   0.00158 -0.00429
   0.00896 -0.00967
   0.02148 -0.01482
   0.03902 -0.01942
   0.06146 -0.02337
   0.08862 -0.02662
   0.12024 -0.02916
   0.15602 -0.03099
   0.19558 -0.03213
   0.23849 -0.03260
   0.28427 -0.03242
   0.33238 -0.03159
   0.38226 -0.03009
   0.43329 -0.02779
   0.48515 -0.02441
   0.53783 -0.02006
   0.59098 -0.01530
   0.64391 -0.01057
   0.69589 -0.00618
   0.74615 -0.00238
   0.79390  0.00064
   0.83834  0.00278
   0.87873  0.00398
   0.91432  0.00429
   0.94443  0.00381
   0.96844  0.00277
   0.98589  0.00152
   0.99646  0.00044
   1.00000  0.00000
