E385  (8.41%)                
   1.00000  0.00000
   0.99695  0.00080
   0.98804  0.00321
   0.97384  0.00716
   0.95480  0.01231
   0.93117  0.01826
   0.90309  0.02481
   0.87084  0.03193
   0.83488  0.03952
   0.79569  0.04744
   0.75376  0.05551
   0.70965  0.06356
   0.66390  0.07137
   0.61709  0.07871
   0.56981  0.08527
   0.52249  0.09067
   0.47545  0.09464
   0.42898  0.09703
   0.38337  0.09773
   0.33887  0.09672
   0.29571  0.09409
   0.25419  0.09005
   0.21475  0.08480
   0.17776  0.07846
   0.14358  0.07118
   0.11253  0.06312
   0.08490  0.05442
   0.06090  0.04528
   0.04073  0.03590
   0.02450  0.02652
   0.01233  0.01745
   0.00424  0.00903
   0.00025  0.00182
   0.00112 -0.00310
   0.00768 -0.00611
   0.01996 -0.00795
   0.03785 -0.00848
   0.06131 -0.00779
   0.09023 -0.00607
   0.12438 -0.00354
   0.16340 -0.00040
   0.20687  0.00313
   0.25429  0.00684
   0.30507  0.01053
   0.35858  0.01402
   0.41413  0.01714
   0.47100  0.01978
   0.52842  0.02181
   0.58564  0.02316
   0.64187  0.02378
   0.69636  0.02366
   0.74837  0.02280
   0.79718  0.02125
   0.84210  0.01906
   0.88250  0.01633
   0.91779  0.01317
   0.94743  0.00968
   0.97076  0.00603
   0.98722  0.00281
   0.99685  0.00070
   1.00000  0.00000
