E209  (13.72%)               
   1.00000  0.00000
   0.99639  0.00052
   0.98600  0.00232
   0.96969  0.00557
   0.94821  0.00992
   0.92187  0.01488
   0.89077  0.02027
   0.85523  0.02615
   0.81577  0.03253
   0.77295  0.03930
   0.72738  0.04634
   0.67968  0.05352
   0.63049  0.06065
   0.58047  0.06753
   0.53028  0.07393
   0.48058  0.07949
   0.43185  0.08380
   0.38436  0.08657
   0.33841  0.08764
   0.29424  0.08694
   0.25208  0.08448
   0.21211  0.08037
   0.17461  0.07490
   0.13997  0.06830
   0.10854  0.06073
   0.08065  0.05237
   0.05656  0.04341
   0.03651  0.03406
   0.02066  0.02454
   0.00916  0.01517
   0.00216  0.00635
   0.00007 -0.00108
   0.00398 -0.00775
   0.01379 -0.01467
   0.02852 -0.02140
   0.04804 -0.02765
   0.07219 -0.03329
   0.10073 -0.03821
   0.13340 -0.04233
   0.16986 -0.04561
   0.20974 -0.04799
   0.25258 -0.04943
   0.29793 -0.04985
   0.34524 -0.04909
   0.39430 -0.04683
   0.44516 -0.04322
   0.49749 -0.03884
   0.55057 -0.03409
   0.60368 -0.02923
   0.65609 -0.02446
   0.70708 -0.01993
   0.75594 -0.01576
   0.80197 -0.01205
   0.84451 -0.00884
   0.88293 -0.00617
   0.91665 -0.00400
   0.94522 -0.00222
   0.96834 -0.00089
   0.98558 -0.00014
   0.99633  0.00003
   1.00000  0.00000
