E212  (10.55%)               
   1.00000  0.00000
   0.99676  0.00092
   0.98759  0.00372
   0.97346  0.00803
   0.95472  0.01307
   0.93124  0.01844
   0.90316  0.02418
   0.87085  0.03023
   0.83474  0.03645
   0.79525  0.04269
   0.75283  0.04881
   0.70796  0.05465
   0.66112  0.06008
   0.61282  0.06496
   0.56355  0.06915
   0.51383  0.07256
   0.46416  0.07507
   0.41502  0.07660
   0.36689  0.07708
   0.32023  0.07647
   0.27548  0.07473
   0.23303  0.07188
   0.19326  0.06794
   0.15651  0.06295
   0.12309  0.05701
   0.09327  0.05023
   0.06729  0.04275
   0.04534  0.03473
   0.02758  0.02636
   0.01410  0.01790
   0.00499  0.00967
   0.00032  0.00224
   0.00122 -0.00398
   0.00800 -0.00970
   0.01984 -0.01532
   0.03648 -0.02045
   0.05780 -0.02486
   0.08363 -0.02840
   0.11379 -0.03097
   0.14808 -0.03252
   0.18621 -0.03301
   0.22790 -0.03248
   0.27280 -0.03099
   0.32051 -0.02861
   0.37059 -0.02548
   0.42257 -0.02175
   0.47590 -0.01759
   0.53003 -0.01320
   0.58434 -0.00878
   0.63819 -0.00452
   0.69090 -0.00063
   0.74179  0.00271
   0.79016  0.00535
   0.83528  0.00713
   0.87643  0.00794
   0.91284  0.00776
   0.94382  0.00659
   0.96851  0.00458
   0.98615  0.00231
   0.99657  0.00061
   1.00000  0.00000
