Complexity,Loss,Equation
1,0.1585642,"0.48805338"
2,0.07470259,"hf"
4,0.03515805,"(hf ^ 0.44928268)"
6,0.035139572,"((hf ^ 0.44031015) - 0.0063831247)"
7,0.034691565,"(hf ^ (6.1142354 / lr))"
8,0.033585973,"(hf ^ exp(-0.5575579 - hf))"
9,0.032549486,"((hf ^ (0.59713274 - hf)) * 0.87649447)"
11,0.031340633,"((hf * ((a * -0.052677594) + 1.2339612)) ^ 0.48126906)"
12,0.022856066,"((hf ^ 0.43900514) / exp(exp(a - lr)))"
14,0.022230314,"((hf ^ 0.4836467) / (exp(exp(a - lr)) + -0.055721477))"
15,0.020603841,"((hf ^ (0.7092231 - hf)) / exp(exp(a - lr)))"
16,0.019921632,"((hf ^ log(1.8171461 - hf)) / exp(exp(a - lr)))"
17,0.019652758,"((hf ^ (0.6374759 - hf)) / (exp(exp(a - lr)) + 0.07634146))"
19,0.01903551,"((hf ^ (0.70838225 - hf)) / exp(exp(a) / (log(lr) ^ lr)))"
21,0.01823929,"((hf ^ (0.6572075 - hf)) / exp((exp(a) / (log(lr) ^ lr)) + 0.05812856))"
22,0.01822012,"(((hf ^ (0.6382928 - hf)) * 0.92989683) / exp(exp(a - log(log(lr) ^ lr))))"
23,0.01710287,"((hf ^ (0.7090011 - hf)) / ((exp(exp(a - lr)) ^ (hf + -0.43339866)) ^ d))"
24,0.016709998,"((hf ^ (0.70838225 - hf)) / exp(exp(a) / ((log(lr) + (0.70838225 - hf)) ^ lr)))"
25,0.016098613,"((hf ^ (0.7239322 - hf)) / ((exp(exp(a - lr) + 0.030272152) ^ (-0.41932222 + hf)) ^ d))"
27,0.01580843,"((hf ^ (0.7090011 - hf)) / ((exp(exp(a - lr) + 0.013389841) ^ (hf + -0.43339866)) ^ (d ^ 1.1174678)))"
29,0.014605095,"((hf / (exp(((hf ^ 4.840623) * (((exp(a) / exp(lr)) * (1.8367233 ^ d)) + 0.91453755)) + -1.3622341) - -0.43339866)) ^ 0.6223919)"
30,0.0145660965,"((hf / (exp(((hf ^ exp(1.4612277)) * (((exp(a) / exp(lr)) * (1.8367233 ^ d)) + 0.85992557)) + -1.2729113) - -0.3969277)) ^ 0.6223919)"
31,0.014412294,"((hf / (exp(((hf ^ 4.840623) * ((((exp(a) - -2.656868) / exp(lr)) * (1.8367233 ^ d)) + 0.91453755)) + -1.3622341) - -0.43339866)) ^ 0.6223919)"
32,0.014026745,"((hf ^ (0.7088479 - hf)) / exp(exp(a / (lr * 0.076789305)) / (((log(lr) + (0.72194034 - hf)) ^ lr) / d)))"
34,0.013982726,"((hf ^ (0.7088479 - hf)) / exp(exp(a / (lr * 0.076789305)) / (((log(lr) + (0.72194034 - (hf ^ 0.83516467))) ^ lr) / d)))"
35,0.013519115,"((hf ^ (0.70838225 - hf)) / (exp(exp(a / (lr * 0.08406906)) / (((log(lr) + (0.7092231 - hf)) ^ lr) / d)) ^ d))"
36,0.013489711,"((hf ^ (0.7092231 - hf)) / (exp(exp(a / (lr * 0.08406906)) / (((log(lr) + (0.70838225 - hf)) ^ lr) / (d + -1.6667429))) ^ 4.0303783))"
37,0.0130817285,"((hf ^ (0.70838225 - hf)) / (exp(exp(a / (lr * 0.08406906)) / (((log(lr) + (0.70838225 - hf)) ^ lr) / (d + -1.280226))) ^ d))"
39,0.012845552,"((hf ^ (0.70558774 - hf)) / (exp((exp(a / (lr * 0.08406906)) + 30.764885) / (((log(lr) + (0.70838225 - hf)) ^ lr) / (d + -1.3188479))) ^ d))"
