GOE 531 AIRFOIL
1.0000000 0.0000000
0.9490800 0.0283500
0.8981600 0.0566900
0.7963800 0.1113800
0.6949100 0.1565800
0.5937700 0.1918000
0.4932200 0.2085300
0.3932800 0.2067800
0.2938900 0.1880500
0.1948900 0.1573300
0.1456200 0.1347300
0.0965000 0.1076400
0.0720300 0.0913400
0.0476400 0.0725500
0.0233800 0.0497600
0.0114300 0.0328700
0.0000000 0.0000000
0.0133000 -.0245700
0.0259600 -.0296600
0.0509500 -.0293400
0.0757300 -.0225400
0.1004800 -.0147300
0.1499200 0.0023700
0.1993200 0.0209800
0.2982100 0.0551900
0.3975200 0.0764200
0.4972200 0.0856600
0.5974200 0.0794200
0.6980400 0.0601900
0.7988300 0.0359600
0.8995700 0.0132400
0.9497899 0.0063700
1.0000000 0.0000000
