E195  (11.82%)               
   1.00000  0.00000
   0.99652  0.00050
   0.98640  0.00220
   0.97037  0.00527
   0.94904  0.00948
   0.92280  0.01448
   0.89185  0.02014
   0.85658  0.02647
   0.81753  0.03341
   0.77529  0.04083
   0.73046  0.04859
   0.68368  0.05648
   0.63559  0.06428
   0.58686  0.07170
   0.53813  0.07835
   0.48985  0.08374
   0.44222  0.08756
   0.39550  0.08968
   0.34994  0.09004
   0.30580  0.08865
   0.26330  0.08563
   0.22276  0.08123
   0.18460  0.07564
   0.14922  0.06903
   0.11697  0.06154
   0.08817  0.05334
   0.06310  0.04460
   0.04198  0.03551
   0.02500  0.02629
   0.01228  0.01721
   0.00393  0.00862
   0.00008  0.00114
   0.00196 -0.00496
   0.00986 -0.01041
   0.02295 -0.01551
   0.04112 -0.01996
   0.06422 -0.02368
   0.09206 -0.02661
   0.12441 -0.02873
   0.16098 -0.03006
   0.20140 -0.03064
   0.24526 -0.03051
   0.29209 -0.02973
   0.34135 -0.02831
   0.39260 -0.02622
   0.44545 -0.02360
   0.49935 -0.02070
   0.55362 -0.01774
   0.60754 -0.01484
   0.66043 -0.01210
   0.71158 -0.00959
   0.76034 -0.00737
   0.80605 -0.00548
   0.84809 -0.00391
   0.88590 -0.00266
   0.91895 -0.00167
   0.94685 -0.00082
   0.96935 -0.00017
   0.98607  0.00014
   0.99646  0.00009
   1.00000  0.00000
