HN-350M01 F3J  Norbert Habbe
1.000000	0.000000		
0.999013	0.000149		
0.996057	0.000643		
0.991144	0.001527		
0.984292	0.002805		
0.975528	0.004449		
0.964888	0.006396		
0.952414	0.008575		
0.938153	0.010923		
0.922164	0.013457		
0.904508	0.016171		
0.885257	0.019057		
0.864484	0.022080		
0.842274	0.025205		
0.818712	0.028401		
0.793893	0.031637
0.767913	0.034876
0.740877	0.038092
0.712890	0.041244
0.684062	0.044305
0.654508	0.047244
0.624345	0.050034
0.593691	0.052635
0.562667	0.055019
0.531395	0.057161
0.500000	0.059030
0.468605	0.060601
0.437333	0.061856
0.406309	0.062777
0.375655	0.063337
0.345492	0.063537
0.315938	0.063344
0.287110	0.062764
0.259123	0.061778
0.232087	0.060386
0.206107	0.058593
0.181288	0.056403
0.157726	0.053814
0.135516	0.050859
0.114743	0.047537
0.095492	0.043879
0.077836	0.039913
0.061847	0.035676
0.047586	0.031205
0.035112	0.026548
0.024472	0.021737
0.015708	0.016907
0.008856	0.012159
0.003943	0.007561
0.000987	0.003342
0.000000	0.000000
0.000987	-0.002758
0.003943	-0.005823
0.008856	-0.008777
0.015708	-0.011565
0.024472	-0.014221
0.035112	-0.016700
0.047586	-0.018919
0.061847	-0.020892
0.077836	-0.022603
0.095492	-0.024047
0.114743	-0.025247
0.135516	-0.026185
0.157726	-0.026882
0.181288	-0.027349
0.206107	-0.027589
0.232087	-0.027620
0.259123	-0.027450
0.287110	-0.027100
0.315938	-0.026574
0.345492	-0.025883
0.375655	-0.025047
0.406309	-0.024067
0.437333	-0.022966
0.468605	-0.021747
0.500000	-0.020416
0.531395	-0.018969
0.562667	-0.017385
0.593691	-0.015669
0.624345	-0.013852
0.654508	-0.012002
0.684062	-0.010177
0.712890	-0.008420
0.740877	-0.006754
0.767913	-0.005214
0.793893	-0.003827
0.818712	-0.002593
0.842274	-0.001527
0.864484	-0.000634
0.885257	0.000077
0.904508	0.000609
0.922164	0.000969
0.938153	0.001169
0.952414	0.001221
0.964888	0.001154
0.975528	0.000987			
0.984292	0.000755			
0.991144	0.000491			
0.996057	0.000247			
0.999013	0.000067			
1.000000	0.000000			
Profilbeiwerte				
Profildicke(d):	9	%		
Dickenrcklage(xd):	30.62	%		
Profilwlbung(f):	1.95	%		
Wlbungsrcklage(xf):	44.77	%		
Momentenbeiwert(cm0):	-0.0729			
Nullauftrieb(a0):	-2.739			
Stofreier	Eintritt:	0.3023		
Ca	bei	stofreiem	Eintritt:	0.3335
Auftriebsanstieg:	6.7303			
Neutralpunktlage:	25.66	%
Profiltyp:	Profil	
