MS2.5/13GPV  Flapped scale sailplane (c)m_scherrer
     1.000000    0.000441
     0.993201    0.001468
     0.980131    0.003484
     0.964123    0.006014
     0.947569    0.008681
     0.930748    0.011416
     0.913781    0.014198
     0.896878    0.017010
     0.880014    0.019876
     0.863166    0.022812
     0.846322    0.025820
     0.829441    0.028899
     0.812481    0.032038
     0.795521    0.035185
     0.778614    0.038308
     0.761718    0.041403
     0.744829    0.044465
     0.727958    0.047486
     0.711106    0.050455
     0.694267    0.053364
     0.677414    0.056216
     0.660542    0.059013
     0.643673    0.061751
     0.626830    0.064422
     0.610037    0.067007
     0.593291    0.069485
     0.576560    0.071850
     0.559840    0.074096
     0.543130    0.076215
     0.526439    0.078200
     0.509774    0.080036
     0.493119    0.081718
     0.476452    0.083246
     0.459769    0.084622
     0.443088    0.085845
     0.426433    0.086904
     0.409803    0.087783
     0.393156    0.088480
     0.376464    0.089002
     0.359757    0.089364
     0.343077    0.089559
     0.326453    0.089582
     0.309919    0.089411
     0.293471    0.089021
     0.277038    0.088401
     0.260592    0.087558
     0.244185    0.086497
     0.227833    0.085205
     0.211525    0.083677
     0.195312    0.081915
     0.179327    0.079898
     0.163598    0.077568
     0.148065    0.074874
     0.132708    0.071796
     0.117572    0.068325
     0.102729    0.064441
     0.088265    0.060116
     0.074264    0.055326
     0.060813    0.050063
     0.048227    0.044453
     0.037025    0.038680
     0.027549    0.032918
     0.019973    0.027489
     0.014228    0.022654
     0.009985    0.018439
     0.006863    0.014758
     0.004544    0.011526
     0.002800    0.008667
     0.001502    0.006090
     0.000597    0.003702
     0.000097    0.001449
     0.000027   -0.000736
     0.000449   -0.002954
     0.001453   -0.005212
     0.003022   -0.007394
     0.005138   -0.009534
     0.007842   -0.011680
     0.011273   -0.013903
     0.015691   -0.016260
     0.021509   -0.018798
     0.029303   -0.021539
     0.039603   -0.024415
     0.052408   -0.027271
     0.066967   -0.029880
     0.082547   -0.032141
     0.098607   -0.034047
     0.114931   -0.035603
     0.131518   -0.036877
     0.148289   -0.037933
     0.165123   -0.038794
     0.181987   -0.039464
     0.198914   -0.039966
     0.215914   -0.040334
     0.232968   -0.040590
     0.250050   -0.040745
     0.267154   -0.040807
     0.284272   -0.040781
     0.301385   -0.040668
     0.318480   -0.040465
     0.335556   -0.040172
     0.352613   -0.039788
     0.369648   -0.039311
     0.386654   -0.038737
     0.403646   -0.038058
     0.420648   -0.037268
     0.437697   -0.036376
     0.454815   -0.035400
     0.471972   -0.034360
     0.489140   -0.033265
     0.506307   -0.032115
     0.523466   -0.030909
     0.540626   -0.029647
     0.557800   -0.028334
     0.574993   -0.026973
     0.592209   -0.025574
     0.609448   -0.024144
     0.626699   -0.022692
     0.643942   -0.021229
     0.661169   -0.019763
     0.678382   -0.018299
     0.695581   -0.016840
     0.712758   -0.015392
     0.729904   -0.013963
     0.747018   -0.012564
     0.764100   -0.011206
     0.781150   -0.009900
     0.798174   -0.008654
     0.815191   -0.007473
     0.832175   -0.006369
     0.849123   -0.005359
     0.866088   -0.004448
     0.883040   -0.003634
     0.900012   -0.002923
     0.917070   -0.002286
     0.934149   -0.001683
     0.951064   -0.001089
     0.967237   -0.000578
     0.981583   -0.000322
     0.993395   -0.000339
     1.000000   -0.000441

1.000031-->1.00  + supression : dans titre JCE22/05/20006
