E180  (8.59%)                
   1.00000  0.00000
   0.99677  0.00008
   0.98714  0.00042
   0.97128  0.00121
   0.94943  0.00267
   0.92203  0.00502
   0.88966  0.00832
   0.85292  0.01253
   0.81239  0.01755
   0.76872  0.02327
   0.72254  0.02952
   0.67454  0.03611
   0.62541  0.04278
   0.57584  0.04918
   0.52633  0.05484
   0.47723  0.05943
   0.42885  0.06273
   0.38147  0.06462
   0.33536  0.06502
   0.29074  0.06401
   0.24793  0.06182
   0.20741  0.05860
   0.16959  0.05448
   0.13487  0.04955
   0.10359  0.04391
   0.07605  0.03768
   0.05251  0.03099
   0.03315  0.02398
   0.01812  0.01684
   0.00746  0.00983
   0.00125  0.00344
   0.00033 -0.00163
   0.00512 -0.00596
   0.01526 -0.01015
   0.03053 -0.01380
   0.05084 -0.01680
   0.07609 -0.01912
   0.10608 -0.02079
   0.14054 -0.02185
   0.17912 -0.02235
   0.22144 -0.02235
   0.26703 -0.02194
   0.31539 -0.02118
   0.36597 -0.02014
   0.41819 -0.01889
   0.47144 -0.01750
   0.52510 -0.01600
   0.57854 -0.01446
   0.63113 -0.01289
   0.68225 -0.01135
   0.73130 -0.00985
   0.77769 -0.00842
   0.82088 -0.00707
   0.86035 -0.00582
   0.89563 -0.00465
   0.92628 -0.00358
   0.95192 -0.00256
   0.97234 -0.00153
   0.98741 -0.00064
   0.99679 -0.00013
   1.00000  0.00000
