OAF102 AIRFOIL
1.0000000 0.0049500
0.9990130 0.0050720
0.9960570 0.0054430
0.9911440 0.0060810
0.9842920 0.0070130
0.9755280 0.0082680
0.9648880 0.0098730
0.9524140 0.0118480
0.9381530 0.0141980
0.9221640 0.0169170
0.9045080 0.0199840
0.8852570 0.0233640
0.8644840 0.0270150
0.8422740 0.0308900
0.8187120 0.0349420
0.7938930 0.0391240
0.7679130 0.0433970
0.7408770 0.0477170
0.7128900 0.0520440
0.6840620 0.0563260
0.6545080 0.0605020
0.6243450 0.0644940
0.5936910 0.0682100
0.5626670 0.0715490
0.5313950 0.0744090
0.5000000 0.0767060
0.4686050 0.0783960
0.4373330 0.0794940
0.4063090 0.0801020
0.3756550 0.0799960
0.3454920 0.0792870
0.3159380 0.0779820
0.2871100 0.0760840
0.2591230 0.0736410
0.2320870 0.0707200
0.2061070 0.0673850
0.1812880 0.0636970
0.1577260 0.0597120
0.1355160 0.0554790
0.1147430 0.0510510
0.0954920 0.0464800
0.0778360 0.0418150
0.0618470 0.0371040
0.0475860 0.0323860
0.0351120 0.0276870
0.0244720 0.0230230
0.0157080 0.0183940
0.0088560 0.0137910
0.0039430 0.0092000
0.0009870 0.0046060
0.0000000 0.0000000
0.0009870 -.0041390
0.0039430 -.0081810
0.0088560 -.0120750
0.0157080 -.0157610
0.0244720 -.0191910
0.0351120 -.0223310
0.0475860 -.0251540
0.0618470 -.0276150
0.0778360 -.0296520
0.0954920 -.0312080
0.1147430 -.0322730
0.1355160 -.0328460
0.1577260 -.0328980
0.1812880 -.0322540
0.2061070 -.0312240
0.2320870 -.0297750
0.2591230 -.0279010
0.2871100 -.0256230
0.3159380 -.0229870
0.3454920 -.0200630
0.3756550 -.0169400
0.4063090 -.0137190
0.4373330 -.0105030
0.4686050 -.0073910
0.5000000 -.0044730
0.5313950 -.0018180
0.5626670 0.0005240
0.5936910 0.0025230
0.6243450 0.0041710
0.6545080 0.0054770
0.6840620 0.0064610
0.7128900 0.0071510
0.7408770 0.0075760
0.7679130 0.0077630
0.7938930 0.0077330
0.8187120 0.0075010
0.8422740 0.0070770
0.8644840 0.0064660
0.8852570 0.0056770
0.9045080 0.0047190
0.9221640 0.0036140
0.9381530 0.0023910
0.9524140 0.0010920
0.9648880 -.0002280
0.9755280 -.0015070
0.9842920 -.0026760
0.9911440 -.0036710
0.9960570 -.0044300
0.9990130 -.0049060
1.0000000 -.0050680
