NM RETRO saumon pour les ailerons  30% (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
 1.00000     0.00482
 0.91407     0.01848
 0.84197     0.02977
 0.78141     0.03900
 0.72964     0.04655
 0.68392     0.05274
 0.64151     0.05799
 0.59968     0.06265
 0.55594     0.06711
 0.51000     0.07133
 0.46271     0.07512
 0.41492     0.07831
 0.36750     0.08074
 0.32131     0.08223
 0.27719     0.08261
 0.23599     0.08172
 0.19815     0.07954
 0.16370     0.07620
 0.13269     0.07177
 0.10512     0.06636
 0.08102     0.06011
 0.06042     0.05315
 0.04334     0.04562
 0.02968     0.03775
 0.01912     0.02986
 0.01127     0.02227
 0.00580     0.01523
 0.00234     0.00917
 0.00052     0.00366
 0.00000    -0.00085
 0.00095    -0.00654
 0.00380    -0.00916
 0.00856    -0.01338
 0.01523    -0.01743
 0.02383    -0.02121
 0.03436    -0.02470
 0.04683    -0.02785
 0.06126    -0.03063
 0.07792    -0.03300
 0.09716    -0.03494
 0.11935    -0.03642
 0.14485    -0.03739
 0.17402    -0.03780
 0.20724    -0.03761
 0.24483    -0.03676
 0.28648    -0.03526
 0.33120    -0.03320
 0.37800    -0.03070
 0.42586    -0.02791
 0.47379    -0.02493
 0.52076    -0.02192
 0.56580    -0.01899
 0.60917    -0.01619
 0.65365    -0.01352
 0.70227    -0.01091
 0.75809    -0.00838
 0.82416    -0.00587
 0.90352    -0.00334
 1.00000    -0.00075

http://kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
modif 1.00043 -> 1.00000
modif 0.99923 -> 1.00000
