NM REtro 13   13% (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
 1.00000     0.00268
 0.99620     0.00361
 0.98981     0.00517
 0.98259     0.00697
 0.97460     0.00897
 0.96604     0.01107
 0.95710     0.01320
 0.94790     0.01538
 0.93854     0.01756
 0.92909     0.01976
 0.91959     0.02193
 0.91006     0.02409
 0.90055     0.02624
 0.89107     0.02835
 0.88157     0.03044
 0.87201     0.03253
 0.86244     0.03460
 0.85287     0.03665
 0.84329     0.03868
 0.83369     0.04068
 0.82408     0.04267
 0.81450     0.04462
 0.80494     0.04655
 0.79539     0.04845
 0.78584     0.05033
 0.77629     0.05218
 0.76675     0.05399
 0.75725     0.05579
 0.74777     0.05756
 0.73830     0.05930
 0.72881     0.06100
 0.71930     0.06269
 0.70979     0.06433
 0.70030     0.06596
 0.69084     0.06755
 0.68137     0.06911
 0.67188     0.07063
 0.66236     0.07216
 0.65284     0.07363
 0.64332     0.07507
 0.63384     0.07649
 0.62436     0.07787
 0.61487     0.07922
 0.60535     0.08052
 0.59580     0.08180
 0.58624     0.08307
 0.57671     0.08428
 0.56719     0.08547
 0.55768     0.08661
 0.54814     0.08773
 0.53856     0.08880
 0.52896     0.08984
 0.51938     0.09084
 0.50984     0.09182
 0.50033     0.09275
 0.49084     0.09363
 0.48133     0.09446
 0.47178     0.09526
 0.46221     0.09601
 0.45267     0.09674
 0.44317     0.09740
 0.43373     0.09800
 0.42430     0.09857
 0.41485     0.09910
 0.40536     0.09957
 0.39585     0.09998
 0.38640     0.10033
 0.37699     0.10066
 0.36763     0.10091
 0.35827     0.10111
 0.34887     0.10124
 0.33942     0.10131
 0.32998     0.10132
 0.32060     0.10128
 0.31130     0.10117
 0.30206     0.10101
 0.29279     0.10077
 0.28345     0.10044
 0.27408     0.10003
 0.26476     0.09957
 0.25555     0.09907
 0.24645     0.09847
 0.23736     0.09779
 0.22821     0.09701
 0.21899     0.09613
 0.20982     0.09517
 0.20079     0.09416
 0.19191     0.09304
 0.18304     0.09182
 0.17410     0.09046
 0.16511     0.08901
 0.15625     0.08747
 0.14758     0.08585
 0.13907     0.08411
 0.13052     0.08222
 0.12189     0.08018
 0.11336     0.07803
 0.10516     0.07583
 0.09726     0.07353
 0.08942     0.07103
 0.08157     0.06835
 0.07401     0.06560
 0.06698     0.06286
 0.06036     0.06002
 0.05394     0.05698
 0.04775     0.05381
 0.04204     0.05067
 0.03690     0.04762
 0.03231     0.04464
 0.02819     0.04168
 0.02450     0.03881
 0.02122     0.03604
 0.01834     0.03342
 0.01580     0.03091
 0.01357     0.02852
 0.01162     0.02627
 0.00989     0.02412
 0.00838     0.02207
 0.00704     0.02010
 0.00586     0.01820
 0.00483     0.01638
 0.00392     0.01461
 0.00314     0.01295
 0.00247     0.01140
 0.00189     0.00991
 0.00137     0.00837
 0.00093     0.00679
 0.00060     0.00556
 0.00036     0.00449
 0.00013     0.00291
-0.00001     0.00116
-0.00003     0.00039
-0.00001    -0.00010
 0.00011    -0.00186
 0.00036    -0.00328
 0.00063    -0.00409
 0.00107    -0.00540
 0.00166    -0.00673
 0.00234    -0.00788
 0.00314    -0.00908
 0.00410    -0.01035
 0.00518    -0.01160
 0.00640    -0.01287
 0.00779    -0.01417
 0.00937    -0.01548
 0.01116    -0.01679
 0.01320    -0.01811
 0.01550    -0.01940
 0.01812    -0.02068
 0.02108    -0.02193
 0.02443    -0.02312
 0.02823    -0.02428
 0.03259    -0.02543
 0.03753    -0.02659
 0.04301    -0.02776
 0.04891    -0.02882
 0.05532    -0.02976
 0.06236    -0.03064
 0.06990    -0.03147
 0.07767    -0.03222
 0.08557    -0.03283
 0.09379    -0.03333
 0.10237    -0.03374
 0.11116    -0.03410
 0.11986    -0.03436
 0.12860    -0.03454
 0.13752    -0.03461
 0.14668    -0.03463
 0.15588    -0.03462
 0.16498    -0.03454
 0.17403    -0.03438
 0.18318    -0.03417
 0.19250    -0.03389
 0.20187    -0.03359
 0.21117    -0.03324
 0.22039    -0.03285
 0.22959    -0.03240
 0.23891    -0.03190
 0.24833    -0.03137
 0.25776    -0.03078
 0.26714    -0.03018
 0.27644    -0.02954
 0.28575    -0.02883
 0.29511    -0.02810
 0.30457    -0.02733
 0.31407    -0.02654
 0.32353    -0.02572
 0.33295    -0.02487
 0.34234    -0.02399
 0.35177    -0.02307
 0.36129    -0.02213
 0.37086    -0.02117
 0.38045    -0.02019
 0.39002    -0.01920
 0.39958    -0.01819
 0.40914    -0.01716
 0.41876    -0.01612
 0.42842    -0.01507
 0.43812    -0.01402
 0.44783    -0.01296
 0.45752    -0.01190
 0.46719    -0.01085
 0.47686    -0.00979
 0.48656    -0.00874
 0.49627    -0.00768
 0.50598    -0.00664
 0.51570    -0.00561
 0.52543    -0.00459
 0.53516    -0.00357
 0.54488    -0.00256
 0.55457    -0.00157
 0.56421    -0.00060
 0.57384     0.00033
 0.58347     0.00125
 0.59311     0.00215
 0.60275     0.00303
 0.61236     0.00388
 0.62191     0.00469
 0.63142     0.00545
 0.64093     0.00619
 0.65048     0.00688
 0.66005     0.00754
 0.66963     0.00817
 0.67918     0.00876
 0.68871     0.00930
 0.69822     0.00978
 0.70776     0.01024
 0.71731     0.01064
 0.72687     0.01101
 0.73639     0.01132
 0.74588     0.01156
 0.75535     0.01178
 0.76481     0.01191
 0.77427     0.01203
 0.78373     0.01209
 0.79316     0.01209
 0.80255     0.01203
 0.81192     0.01191
 0.82129     0.01174
 0.83066     0.01151
 0.84003     0.01122
 0.84940     0.01087
 0.85876     0.01046
 0.86811     0.00999
 0.87744     0.00945
 0.88676     0.00883
 0.89606     0.00813
 0.90534     0.00739
 0.91458     0.00664
 0.92376     0.00585
 0.93287     0.00503
 0.94189     0.00419
 0.95077     0.00332
 0.95937     0.00241
 0.96761     0.00149
 0.97554     0.00055
 0.98305    -0.00040
 0.98994    -0.00127
 0.99617    -0.00209
 1.00000    -0.00260

http://kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
