HN-374 F3B/F3F	 Norbert Habbe
1.00000	0.00000
0.99901	0.00015
0.99606	0.00064
0.99114	0.00150
0.98429	0.00275
0.97553	0.00436
0.96489	0.00625
0.95241	0.00835
0.93815	0.01062
0.92216	0.01306
0.90451	0.01567
0.88526	0.01843
0.86448	0.02131
0.84227	0.02428
0.81871	0.02731
0.79389	0.03036
0.76791	0.03341
0.74088	0.03641
0.71289	0.03934
0.68406	0.04217
0.65451	0.04486
0.62435	0.04740
0.59369	0.04975
0.56267	0.05190
0.53140	0.05380
0.50000	0.05546
0.46861	0.05683
0.43733	0.05789
0.40631	0.05864
0.37566	0.05906
0.34549	0.05913
0.31594	0.05884
0.28711	0.05820
0.25912	0.05719
0.23209	0.05580
0.20611	0.05406
0.18129	0.05196
0.15773	0.04951
0.13552	0.04672
0.11474	0.04361
0.09549	0.04021
0.07784	0.03652
0.06185	0.03260
0.04759	0.02847
0.03511	0.02413
0.02447	0.01977
0.01571	0.01534
0.00886	0.01094
0.00398	0.00686
0.00103	0.00321
0.00000	0.00000
0.00103	-0.00269
0.00394	-0.00516
0.00886	-0.00766
0.01571	-0.01014
0.02447	-0.01245
0.03511	-0.01460
0.04759	-0.01650
0.06185	-0.01816
0.07784	-0.01957
0.09549	-0.02074
0.11474	-0.02168
0.13552	-0.02237
0.15773	-0.02285
0.18129	-0.02311
0.20611	-0.02317
0.23209	-0.02303
0.25912	-0.02272
0.28711	-0.02225
0.31594	-0.02163
0.34549	-0.02088
0.37566	-0.02000
0.40631	-0.01901
0.43733	-0.01793
0.46861	-0.01677
0.50000	-0.01552
0.53140	-0.01421
0.56267	-0.01280
0.59369	-0.01132
0.62435	-0.00979
0.65451	-0.00825
0.68406	-0.00675
0.71289	-0.00532
0.74088	-0.00399
0.76791	-0.00277
0.79389	-0.00168
0.81871	-0.00073
0.84227	0.00007
0.86448	0.00071
0.88526	0.00120
0.90451	0.00154
0.92216	0.00172
0.93815	0.00176
0.95241	0.00167
0.96489	0.00148
0.97553	0.00121
0.98429	0.00089
0.99114	0.00056
0.99606	0.00027
0.99901	0.00007
1.00000	0.00000
