HN-304TA Planeur>3.5m  Norbert Habbe
1.00000	0.00000		
0.99901	0.00018		
0.99606	0.00079		
0.99114	0.00186		
0.98429	0.00342		
0.97553	0.00542		
0.96489	0.00780		
0.95241	0.01046		
0.93815	0.01334		
0.92216	0.01645		
0.90451	0.01979		
0.88526	0.02334		
0.86448	0.02707		
0.84227	0.03093		
0.81871	0.03488		
0.79389	0.03888
0.76791	0.04289
0.74088	0.04687
0.71289	0.05078
0.68406	0.05456
0.65451	0.05820
0.62435	0.06165
0.59369	0.06485
0.56267	0.06779
0.53140	0.07041
0.50000	0.07269
0.46861	0.07460
0.43733	0.07611
0.40631	0.07720
0.37566	0.07785
0.34549	0.07806
0.31594	0.07777
0.28711	0.07702
0.25912	0.07576
0.23209	0.07401
0.20611	0.07178
0.18129	0.06905
0.15773	0.06585
0.13552	0.06219
0.11474	0.05810
0.09549	0.05360
0.07784	0.04873
0.06185	0.04354
0.04759	0.03808
0.03511	0.03238
0.02447	0.02651
0.01571	0.02062
0.00886	0.01481
0.00394	0.00926
0.00097	0.00417
0.00000	0.00000
0.00099	-0.00338
0.00377	-0.00702
0.00886	-0.01073
0.01571	-0.01416
0.02447	-0.01744
0.03511	-0.02051
0.04759	-0.02325
0.06185	-0.02571
0.07784	-0.02784
0.09549	-0.02964
0.11474	-0.03114
0.13552	-0.03231
0.15773	-0.03318
0.18129	-0.03375
0.20611	-0.03405
0.23209	-0.03407
0.25912	-0.03384
0.28711	-0.03338
0.31594	-0.03269
0.34549	-0.03179
0.37566	-0.03071
0.40631	-0.02944
0.43733	-0.02802
0.46861	-0.02645
0.50000	-0.02475
0.53140	-0.02292
0.56267	-0.02095
0.59369	-0.01884
0.62435	-0.01663
0.65451	-0.01440
0.68406	-0.01220
0.71289	-0.01009
0.74088	-0.00809
0.76791	-0.00624
0.79389	-0.00457
0.81871	-0.00309
0.84227	-0.00180
0.86448	-0.00073
0.88526	0.00013
0.90451	0.00078
0.92216	0.00121
0.93815	0.00145
0.95241	0.00151
0.96489	0.00142
0.97553	0.00121			
0.98429	0.00093			
0.99114	0.00060			
0.99606	0.00030			
0.99901	0.00008			
1.00000	0.00000			
Profilbeiwerte				
Profildicke(d):	11.05	%		
Dickenrcklage(xd):	30.62	%		
Profilwlbung(f):	2.41	%		
Wlbungsrcklage(xf):	45.82	%		
Momentenbeiwert(cm0):	-0.0897			
Nullauftrieb(a0):	-3.3613			
Stofreier	Eintritt:	0.3536		
Ca	bei	stofreiem	Eintritt:	0.4074
Auftriebsanstieg:	6.831			
Neutralpunktlage:	25.82	%
Profiltyp:	Profil	
