MS3/11GPV  Flapped scale sailplane (c)m_scherrer
     1.000000    0.000374
     0.993201    0.001443
     0.980131    0.003507
     0.964123    0.006038
     0.947569    0.008670
     0.930748    0.011365
     0.913781    0.014105
     0.896878    0.016869
     0.880014    0.019674
     0.863166    0.022532
     0.846322    0.025447
     0.829441    0.028418
     0.812481    0.031432
     0.795521    0.034443
     0.778614    0.037418
     0.761718    0.040355
     0.744829    0.043249
     0.727958    0.046096
     0.711106    0.048885
     0.694267    0.051611
     0.677414    0.054276
     0.660542    0.056884
     0.643673    0.059432
     0.626830    0.061912
     0.610037    0.064307
     0.593291    0.066597
     0.576560    0.068776
     0.559840    0.070839
     0.543130    0.072780
     0.526439    0.074592
     0.509774    0.076262
     0.493119    0.077784
     0.476452    0.079157
     0.459769    0.080383
     0.443088    0.081463
     0.426433    0.082387
     0.409803    0.083143
     0.393156    0.083731
     0.376464    0.084159
     0.359757    0.084439
     0.343077    0.084566
     0.326453    0.084531
     0.309919    0.084314
     0.293471    0.083888
     0.277038    0.083241
     0.260592    0.082379
     0.244185    0.081309
     0.227833    0.080019
     0.211525    0.078504
     0.195312    0.076767
     0.179327    0.074792
     0.163598    0.072522
     0.148065    0.069907
     0.132708    0.066927
     0.117572    0.063576
     0.102729    0.059840
     0.088265    0.055699
     0.074264    0.051128
     0.060813    0.046123
     0.048227    0.040814
     0.037025    0.035375
     0.027549    0.029972
     0.019973    0.024911
     0.014228    0.020432
     0.009985    0.016546
     0.006863    0.013162
     0.004544    0.010203
     0.002800    0.007606
     0.001502    0.005292
     0.000597    0.003186
     0.000097    0.001230
     0.000027   -0.000621
     0.000449   -0.002457
     0.001453   -0.004270
     0.003022   -0.005964
     0.005138   -0.007558
     0.007842   -0.009120
     0.011273   -0.010719
     0.015691   -0.012393
     0.021509   -0.014157
     0.029303   -0.016005
     0.039603   -0.017879
     0.052408   -0.019683
     0.066967   -0.021262
     0.082547   -0.022569
     0.098607   -0.023628
     0.114931   -0.024440
     0.131518   -0.025058
     0.148289   -0.025540
     0.165123   -0.025908
     0.181987   -0.026160
     0.198914   -0.026306
     0.215914   -0.026366
     0.232968   -0.026358
     0.250050   -0.026293
     0.267154   -0.026175
     0.284272   -0.026010
     0.301385   -0.025800
     0.318480   -0.025541
     0.335556   -0.025229
     0.352613   -0.024858
     0.369648   -0.024423
     0.386654   -0.023918
     0.403646   -0.023337
     0.420648   -0.022676
     0.437697   -0.021944
     0.454815   -0.021159
     0.471972   -0.020338
     0.489140   -0.019489
     0.506307   -0.018613
     0.523466   -0.017709
     0.540626   -0.016775
     0.557800   -0.015814
     0.574993   -0.014828
     0.592209   -0.013826
     0.609448   -0.012814
     0.626699   -0.011798
     0.643942   -0.010786
     0.661169   -0.009781
     0.678382   -0.008789
     0.695581   -0.007813
     0.712758   -0.006858
     0.729904   -0.005932
     0.747018   -0.005045
     0.764100   -0.004205
     0.781150   -0.003423
     0.798174   -0.002705
     0.815191   -0.002057
     0.832175   -0.001483
     0.849123   -0.000996
     0.866088   -0.000599
     0.883040   -0.000287
     0.900012   -0.000068
     0.917070    0.000082
     0.934149    0.000204
     0.951064    0.000325
     0.967237    0.000387
     0.981583    0.000248
     0.993395   -0.000092
     1.000000   -0.000374

1.000031-->1.00  + supression : dans titre JCE22/05/20006
