HN-974	Planeur>3.5m  Norbert Habbe
1.000000	0.000000
0.999013	0.000175
0.996057	0.000752
0.991144	0.001775
0.984292	0.003286
0.975528	0.005264
0.964888	0.007636
0.952414	0.010332
0.938153	0.013279
0.922164	0.016470
0.904508	0.019910
0.885257	0.023578
0.864484	0.027453
0.842274	0.031495
0.818712	0.035668
0.793893	0.039934
0.767913	0.044252
0.740877	0.048581
0.712890	0.052880
0.684062	0.057096
0.654508	0.061188
0.624345	0.065114
0.593691	0.068817
0.562667	0.072249
0.531395	0.075347
0.500000	0.078046
0.468605	0.080309
0.437333	0.082092
0.406309	0.083360
0.375655	0.084091
0.345492	0.084264
0.315938	0.083850
0.287110	0.082876
0.259123	0.081346
0.232087	0.079284
0.206107	0.076707
0.181288	0.073625
0.157726	0.070050
0.135516	0.066018
0.114743	0.061545
0.095492	0.056666
0.077836	0.051423
0.061847	0.045857
0.047586	0.040019
0.035112	0.033966
0.024472	0.027757
0.015708	0.021530
0.008856	0.015413
0.003943	0.009482
0.001150	0.004244
0.000000	0.000000
0.000987	-0.003521
0.003943	-0.007621
0.008856	-0.011734
0.015708	-0.015580
0.024472	-0.019354
0.035112	-0.022950
0.047586	-0.026234
0.061847	-0.029204
0.077836	-0.031847
0.095492	-0.034142
0.114743	-0.036087
0.135516	-0.037674
0.157726	-0.038913
0.181288	-0.039800
0.206107	-0.040351
0.232087	-0.040571
0.259123	-0.040468
0.287110	-0.040066
0.315938	-0.039356
0.345492	-0.038344
0.375655	-0.037043
0.406309	-0.035477
0.437333	-0.033677
0.468605	-0.031670
0.500000	-0.029487
0.531395	-0.027169
0.562667	-0.024743
0.593691	-0.022247
0.624345	-0.019719
0.654508	-0.017211
0.684062	-0.014774
0.712890	-0.012436
0.740877	-0.010225
0.767913	-0.008165
0.793893	-0.006283
0.818712	-0.004598
0.842274	-0.003119
0.864484	-0.001849
0.885257	-0.000805
0.904508	0.000020
0.922164	0.000621
0.938153	0.001011
0.952414	0.001199
0.964888	0.001211
0.975528	0.001080
0.984292	0.000842
0.991144	0.000554
0.996057	0.000276
0.999013	0.000077
1.000000	0.000000
