N+3 T100
    -2.000000    3.000000   -2.500000    3.500000
    1.000000      0.4986928E-03
   0.9916390      0.1472186E-02
   0.9802755      0.2785696E-02
   0.9671078      0.4282556E-02
   0.9524630      0.5920843E-02
   0.9368338      0.7658461E-02
   0.9206892      0.9479073E-02
   0.9042711      0.1137253E-01
   0.8876800      0.1332395E-01
   0.8709641      0.1531787E-01
   0.8541653      0.1733661E-01
   0.8373487      0.1935883E-01
   0.8205795      0.2136310E-01
   0.8038854      0.2333361E-01
   0.7872714      0.2525832E-01
   0.7707314      0.2712801E-01
   0.7542540      0.2893553E-01
   0.7378249      0.3067576E-01
   0.7214305      0.3234555E-01
   0.7050601      0.3394265E-01
   0.6887050      0.3546549E-01
   0.6723589      0.3691293E-01
   0.6560168      0.3828406E-01
   0.6396745      0.3957840E-01
   0.6233290      0.4079567E-01
   0.6069779      0.4193574E-01
   0.5906190      0.4299881E-01
   0.5742513      0.4398512E-01
   0.5578738      0.4489498E-01
   0.5414858      0.4572896E-01
   0.5250875      0.4648750E-01
   0.5086787      0.4717107E-01
   0.4922598      0.4778035E-01
   0.4758318      0.4831582E-01
   0.4593952      0.4877796E-01
   0.4429513      0.4916736E-01
   0.4265021      0.4948430E-01
   0.4100492      0.4972905E-01
   0.3935949      0.4990185E-01
   0.3771426      0.5000252E-01
   0.3606949      0.5003080E-01
   0.3442563      0.4998628E-01
   0.3278316      0.4986793E-01
   0.3114258      0.4967464E-01
   0.2950462      0.4940480E-01
   0.2787002      0.4905611E-01
   0.2623971      0.4862608E-01
   0.2461486      0.4811133E-01
   0.2299684      0.4750793E-01
   0.2138758      0.4681160E-01
   0.1978963      0.4601699E-01
   0.1820650      0.4511832E-01
   0.1664309      0.4410888E-01
   0.1510607      0.4298209E-01
   0.1360474      0.4173246E-01
   0.1215175      0.4035815E-01
   0.1076342      0.3886056E-01
   0.9456860E-01  0.3724125E-01
   0.8247290E-01  0.3551112E-01
   0.7146558E-01  0.3369428E-01
   0.6161373E-01  0.3182826E-01
   0.5292303E-01  0.2995442E-01
   0.4533499E-01  0.2810506E-01
   0.3874408E-01  0.2629940E-01
   0.3302398E-01  0.2454449E-01
   0.2804902E-01  0.2283940E-01
   0.2370655E-01  0.2117879E-01
   0.1990132E-01  0.1955548E-01
   0.1655531E-01  0.1796235E-01
   0.1360626E-01  0.1639256E-01
   0.1100642E-01  0.1483828E-01
   0.8720832E-02  0.1329053E-01
   0.6724984E-02  0.1174065E-01
   0.5002300E-02  0.1018230E-01
   0.3542241E-02  0.8612393E-02
   0.2339180E-02  0.7031478E-02
   0.1390450E-02  0.5443731E-02
   0.6938675E-03  0.3858603E-02
   0.2427907E-03  0.2287233E-02
   0.2634640E-04  0.7500421E-03
   0.2634445E-04 -0.7500426E-03
   0.2427847E-03 -0.2287234E-02
   0.6938575E-03 -0.3858605E-02
   0.1390434E-02 -0.5443735E-02
   0.2339162E-02 -0.7031484E-02
   0.3542218E-02 -0.8612403E-02
   0.5002274E-02 -0.1018231E-01
   0.6724953E-02 -0.1174067E-01
   0.8720796E-02 -0.1329055E-01
   0.1100637E-01 -0.1483831E-01
   0.1360620E-01 -0.1639259E-01
   0.1655525E-01 -0.1796239E-01
   0.1990128E-01 -0.1955553E-01
   0.2370651E-01 -0.2117886E-01
   0.2804897E-01 -0.2283947E-01
   0.3302392E-01 -0.2454457E-01
   0.3874402E-01 -0.2629950E-01
   0.4533492E-01 -0.2810518E-01
   0.5292295E-01 -0.2995455E-01
   0.6161365E-01 -0.3182842E-01
   0.7146550E-01 -0.3369446E-01
   0.8247280E-01 -0.3551133E-01
   0.9456850E-01 -0.3724150E-01
   0.1076341     -0.3886084E-01
   0.1215174     -0.4035847E-01
   0.1360473     -0.4173282E-01
   0.1510605     -0.4298248E-01
   0.1664308     -0.4410932E-01
   0.1820649     -0.4511879E-01
   0.1978961     -0.4601751E-01
   0.2138756     -0.4681216E-01
   0.2299683     -0.4750853E-01
   0.2461484     -0.4811197E-01
   0.2623969     -0.4862677E-01
   0.2787001     -0.4905684E-01
   0.2950461     -0.4940557E-01
   0.3114257     -0.4967546E-01
   0.3278314     -0.4986879E-01
   0.3442562     -0.4998718E-01
   0.3606948     -0.5003175E-01
   0.3771424     -0.5000351E-01
   0.3935948     -0.4990288E-01
   0.4100490     -0.4973013E-01
   0.4265020     -0.4948542E-01
   0.4429512     -0.4916851E-01
   0.4593950     -0.4877916E-01
   0.4758316     -0.4831706E-01
   0.4922597     -0.4778164E-01
   0.5086786     -0.4717240E-01
   0.5250873     -0.4648887E-01
   0.5414856     -0.4573038E-01
   0.5578737     -0.4489644E-01
   0.5742512     -0.4398662E-01
   0.5906189     -0.4300035E-01
   0.6069778     -0.4193732E-01
   0.6233289     -0.4079730E-01
   0.6396744     -0.3958007E-01
   0.6560167     -0.3828577E-01
   0.6723588     -0.3691469E-01
   0.6887049     -0.3546729E-01
   0.7050600     -0.3394449E-01
   0.7214304     -0.3234744E-01
   0.7378248     -0.3067769E-01
   0.7542539     -0.2893751E-01
   0.7707313     -0.2713003E-01
   0.7872713     -0.2526038E-01
   0.8038854     -0.2333571E-01
   0.8205795     -0.2136524E-01
   0.8373486     -0.1936102E-01
   0.8541653     -0.1733883E-01
   0.8709641     -0.1532014E-01
   0.8876800     -0.1332627E-01
   0.9042711     -0.1137489E-01
   0.9206891     -0.9481488E-02
   0.9368338     -0.7660908E-02
   0.9524630     -0.5923331E-02
   0.9671078     -0.4285083E-02
   0.9802755     -0.2788258E-02
   0.9916390     -0.1474778E-02
    1.000000     -0.5013072E-03
