N+3 T140
    -2.000000    3.000000   -2.500000    3.500000
    1.000000      0.4988932E-03
   0.9916390      0.1863999E-02
   0.9802755      0.3705917E-02
   0.9671078      0.5804988E-02
   0.9524630      0.8102432E-02
   0.9368338      0.1053919E-01
   0.9206892      0.1309229E-01
   0.9042711      0.1574748E-01
   0.8876800      0.1848386E-01
   0.8709641      0.2127981E-01
   0.8541653      0.2411052E-01
   0.8373487      0.2694613E-01
   0.8205795      0.2975658E-01
   0.8038854      0.3251973E-01
   0.7872714      0.3521871E-01
   0.7707314      0.3784063E-01
   0.7542540      0.4037547E-01
   0.7378249      0.4281604E-01
   0.7214305      0.4515796E-01
   0.7050601      0.4739806E-01
   0.6887050      0.4953415E-01
   0.6723589      0.5156464E-01
   0.6560168      0.5348825E-01
   0.6396745      0.5530431E-01
   0.6233290      0.5701244E-01
   0.6069779      0.5861244E-01
   0.5906190      0.6010459E-01
   0.5742513      0.6148925E-01
   0.5578738      0.6276684E-01
   0.5414858      0.6393814E-01
   0.5250875      0.6500380E-01
   0.5086787      0.6596445E-01
   0.4922598      0.6682107E-01
   0.4758318      0.6757430E-01
   0.4593952      0.6822483E-01
   0.4429513      0.6877349E-01
   0.4265021      0.6922068E-01
   0.4100492      0.6956675E-01
   0.3935949      0.6981205E-01
   0.3771426      0.6995633E-01
   0.3606949      0.6999922E-01
   0.3442563      0.6994014E-01
   0.3278316      0.6977767E-01
   0.3114258      0.6951022E-01
   0.2950462      0.6913556E-01
   0.2787002      0.6865047E-01
   0.2623971      0.6805144E-01
   0.2461486      0.6733373E-01
   0.2299684      0.6649187E-01
   0.2138758      0.6551983E-01
   0.1978963      0.6441012E-01
   0.1820650      0.6315463E-01
   0.1664309      0.6174398E-01
   0.1510607      0.6016890E-01
   0.1360474      0.5842171E-01
   0.1215175      0.5649981E-01
   0.1076342      0.5440510E-01
   0.9456862E-01  0.5213978E-01
   0.8247292E-01  0.4971903E-01
   0.7146560E-01  0.4717663E-01
   0.6161375E-01  0.4456512E-01
   0.5292305E-01  0.4194243E-01
   0.4533501E-01  0.3935381E-01
   0.3874410E-01  0.3682618E-01
   0.3302400E-01  0.3436946E-01
   0.2804904E-01  0.3198238E-01
   0.2370657E-01  0.2965746E-01
   0.1990134E-01  0.2738467E-01
   0.1655531E-01  0.2515406E-01
   0.1360626E-01  0.2295606E-01
   0.1100642E-01  0.2077972E-01
   0.8720838E-02  0.1861246E-01
   0.6724990E-02  0.1644216E-01
   0.5002306E-02  0.1425993E-01
   0.3542245E-02  0.1206148E-01
   0.2339184E-02  0.9847547E-02
   0.1390452E-02  0.7624000E-02
   0.6938695E-03  0.5404071E-02
   0.2427919E-03  0.3203361E-02
   0.2634680E-04  0.1050475E-02
   0.2634405E-04 -0.1050475E-02
   0.2427835E-03 -0.3203362E-02
   0.6938555E-03 -0.5404073E-02
   0.1390432E-02 -0.7624004E-02
   0.2339158E-02 -0.9847554E-02
   0.3542214E-02 -0.1206149E-01
   0.5002268E-02 -0.1425995E-01
   0.6724947E-02 -0.1644218E-01
   0.8720790E-02 -0.1861248E-01
   0.1100637E-01 -0.2077975E-01
   0.1360620E-01 -0.2295609E-01
   0.1655525E-01 -0.2515410E-01
   0.1990126E-01 -0.2738472E-01
   0.2370649E-01 -0.2965753E-01
   0.2804895E-01 -0.3198245E-01
   0.3302390E-01 -0.3436955E-01
   0.3874400E-01 -0.3682628E-01
   0.4533490E-01 -0.3935393E-01
   0.5292293E-01 -0.4194256E-01
   0.6161363E-01 -0.4456528E-01
   0.7146548E-01 -0.4717682E-01
   0.8247278E-01 -0.4971925E-01
   0.9456848E-01 -0.5214002E-01
   0.1076341     -0.5440539E-01
   0.1215174     -0.5650013E-01
   0.1360473     -0.5842207E-01
