MS2.5/15GPV  Flapped scale sailplane (c)m_scherrer
     1.000000    0.000509
     0.993201    0.001607
     0.980131    0.003778
     0.964123    0.006528
     0.947569    0.009441
     0.930748    0.012433
     0.913781    0.015475
     0.896878    0.018553
     0.880014    0.021695
     0.863166    0.024920
     0.846322    0.028230
     0.829441    0.031626
     0.812481    0.035091
     0.795521    0.038572
     0.778614    0.042031
     0.761718    0.045465
     0.744829    0.048865
     0.727958    0.052225
     0.711106    0.055531
     0.694267    0.058773
     0.677414    0.061954
     0.660542    0.065077
     0.643673    0.068136
     0.626830    0.071122
     0.610037    0.074015
     0.593291    0.076791
     0.576560    0.079442
     0.559840    0.081963
     0.543130    0.084344
     0.526439    0.086576
     0.509774    0.088645
     0.493119    0.090543
     0.476452    0.092271
     0.459769    0.093832
     0.443088    0.095224
     0.426433    0.096433
     0.409803    0.097442
     0.393156    0.098247
     0.376464    0.098856
     0.359757    0.099284
     0.343077    0.099527
     0.326453    0.099576
     0.309919    0.099410
     0.293471    0.099002
     0.277038    0.098340
     0.260592    0.097431
     0.244185    0.096281
     0.227833    0.094876
     0.211525    0.093210
     0.195312    0.091283
     0.179327    0.089073
     0.163598    0.086514
     0.148065    0.083550
     0.132708    0.080161
     0.117572    0.076336
     0.102729    0.072049
     0.088265    0.067268
     0.074264    0.061966
     0.060813    0.056133
     0.048227    0.049904
     0.037025    0.043482
     0.027549    0.037064
     0.019973    0.031002
     0.014228    0.025591
     0.009985    0.020867
     0.006863    0.016736
     0.004544    0.013105
     0.002800    0.009883
     0.001502    0.006967
     0.000597    0.004248
     0.000097    0.001668
     0.000027   -0.000851
     0.000449   -0.003426
     0.001453   -0.006074
     0.003022   -0.008663
     0.005138   -0.011222
     0.007842   -0.013808
     0.011273   -0.016495
     0.015691   -0.019354
     0.021509   -0.022449
     0.029303   -0.025816
     0.039603   -0.029377
     0.052408   -0.032938
     0.066967   -0.036221
     0.082547   -0.039093
     0.098607   -0.041532
     0.114931   -0.043547
     0.131518   -0.045217
     0.148289   -0.046614
     0.165123   -0.047764
     0.181987   -0.048674
     0.198914   -0.049373
     0.215914   -0.049906
     0.232968   -0.050299
     0.250050   -0.050565
     0.267154   -0.050709
     0.284272   -0.050741
     0.301385   -0.050661
     0.318480   -0.050464
     0.335556   -0.050154
     0.352613   -0.049731
     0.369648   -0.049194
     0.386654   -0.048540
     0.403646   -0.047760
     0.420648   -0.046845
     0.437697   -0.045805
     0.454815   -0.044662
     0.471972   -0.043437
     0.489140   -0.042139
     0.506307   -0.040770
     0.523466   -0.039328
     0.540626   -0.037814
     0.557800   -0.036234
     0.574993   -0.034592
     0.592209   -0.032898
     0.609448   -0.031163
     0.626699   -0.029394
     0.643942   -0.027609
     0.661169   -0.025814
     0.678382   -0.024018
     0.695581   -0.022223
     0.712758   -0.020435
     0.729904   -0.018663
     0.747018   -0.016921
     0.764100   -0.015220
     0.781150   -0.013573
     0.798174   -0.011988
     0.815191   -0.010474
     0.832175   -0.009043
     0.849123   -0.007718
     0.866088   -0.006506
     0.883040   -0.005403
     0.900012   -0.004415
     0.917070   -0.003512
     0.934149   -0.002648
     0.951064   -0.001797
     0.967237   -0.001047
     0.981583   -0.000598
     0.993395   -0.000476
     1.000000   -0.000508

1.000031-->1.00  + supression : dans titre JCE22/05/20006
