E216  (10.4%)                
   1.00000  0.00000
   0.99692  0.00141
   0.98842  0.00552
   0.97564  0.01157
   0.95877  0.01840
   0.93743  0.02552
   0.91162  0.03300
   0.88170  0.04079
   0.84805  0.04868
   0.81104  0.05651
   0.77107  0.06407
   0.72855  0.07120
   0.68390  0.07773
   0.63757  0.08353
   0.59004  0.08847
   0.54177  0.09243
   0.49323  0.09532
   0.44490  0.09704
   0.39722  0.09754
   0.35064  0.09678
   0.30560  0.09475
   0.26249  0.09144
   0.22169  0.08690
   0.18354  0.08119
   0.14836  0.07439
   0.11644  0.06665
   0.08803  0.05809
   0.06333  0.04891
   0.04254  0.03930
   0.02576  0.02951
   0.01311  0.01981
   0.00461  0.01058
   0.00031  0.00238
   0.00108 -0.00385
   0.00769 -0.00866
   0.01979 -0.01291
   0.03703 -0.01630
   0.05924 -0.01869
   0.08628 -0.01999
   0.11795 -0.02020
   0.15401 -0.01932
   0.19420 -0.01742
   0.23817 -0.01460
   0.28554 -0.01098
   0.33588 -0.00675
   0.38868 -0.00210
   0.44341  0.00276
   0.49945  0.00757
   0.55614  0.01211
   0.61279  0.01611
   0.66862  0.01937
   0.72287  0.02167
   0.77471  0.02284
   0.82331  0.02277
   0.86782  0.02137
   0.90737  0.01863
   0.94105  0.01456
   0.96763  0.00945
   0.98608  0.00449
   0.99661  0.00113
   1.00000  0.00000
