HN-961SA Aile volante  Norbert Habbe
1.00000	0.00000		
0.99901	0.00006		
0.99600	0.00028		
0.99114	0.00066		
0.98429	0.00129		
0.97553	0.00216		
0.96489	0.00325		
0.95241	0.00454		
0.93815	0.00604		
0.92216	0.00773		
0.90451	0.00962		
0.88526	0.01171		
0.86448	0.01396		
0.84227	0.01637		
0.81871	0.01890		
0.79389	0.02153
0.76791	0.02423
0.74088	0.02696
0.71289	0.02971
0.68406	0.03245
0.65451	0.03513
0.62435	0.03774
0.59369	0.04024
0.56267	0.04260
0.53140	0.04481
0.50000	0.04683
0.46861	0.04864
0.43733	0.05020
0.40631	0.05152
0.37566	0.05256
0.34549	0.05332
0.31594	0.05376
0.28711	0.05387
0.25912	0.05365
0.23209	0.05307
0.20611	0.05213
0.18129	0.05083
0.15773	0.04915
0.13552	0.04709
0.11474	0.04465
0.09549	0.04183
0.07784	0.03864
0.06185	0.03510
0.04759	0.03121
0.03511	0.02701
0.02447	0.02253
0.01566	0.01781
0.00876	0.01309
0.00374	0.00832
0.00081	0.00361
0.00000	0.00000
0.00099	-0.00386
0.00374	-0.00801
0.00876	-0.01250
0.01566	-0.01692
0.02447	-0.02126
0.03511	-0.02534
0.04759	-0.02911
0.06185	-0.03255
0.07784	-0.03565
0.09549	-0.03840
0.11474	-0.04079
0.13552	-0.04281
0.15773	-0.04448
0.18129	-0.04578
0.20611	-0.04673
0.23209	-0.04735
0.25912	-0.04763
0.28711	-0.04761
0.31594	-0.04727
0.34549	-0.04665
0.37566	-0.04575
0.40631	-0.04461
0.43733	-0.04323
0.46861	-0.04164
0.50000	-0.03985
0.53140	-0.03789
0.56267	-0.03579
0.59369	-0.03356
0.62435	-0.03123
0.65451	-0.02883
0.68406	-0.02639
0.71289	-0.02393
0.74088	-0.02148
0.76791	-0.01908
0.79389	-0.01674
0.81871	-0.01450
0.84227	-0.01236
0.86448	-0.01036
0.88526	-0.00852
0.90451	-0.00685
0.92216	-0.00537
0.93815	-0.00408
0.95241	-0.00298
0.96489	-0.00205
0.97553	-0.00130			
0.98429	-0.00073			
0.99114	-0.00035			
0.99606	-0.00014			
0.99901	-0.00003			
1.00000	0.00000			
Profilbeiwerte				
Profildicke(d):	10.15	%		
Dickenrcklage(xd):	28.71	%		
Profilwlbung(f):	0.35	%		
Wlbungsrcklage(xf):	46.86	%		
Momentenbeiwert(cm0):	-0.0121			
Nullauftrieb(a0):	-0.4566			
Stofreier	Eintritt:	0.0585		
Ca	bei	stofreiem	Eintritt:	0.0565
Auftriebsanstieg:	6.7949			
Neutralpunktlage:	25.54	%
Profiltyp:	Profil	
