MS3/13GPV  Flapped scale sailplane (c)m_scherrer
     1.000000    0.000442
     0.993201    0.001581
     0.980131    0.003799
     0.964123    0.006549
     0.947569    0.009427
     0.930748    0.012377
     0.913781    0.015376
     0.896878    0.018405
     0.880014    0.021485
     0.863166    0.024632
     0.846322    0.027848
     0.829441    0.031133
     0.812481    0.034474
     0.795521    0.037817
     0.778614    0.041127
     0.761718    0.044402
     0.744829    0.047634
     0.727958    0.050819
     0.711106    0.053944
     0.694267    0.057002
     0.677414    0.059996
     0.660542    0.062929
     0.643673    0.065797
     0.626830    0.068592
     0.610037    0.071294
     0.593291    0.073881
     0.576560    0.076346
     0.559840    0.078684
     0.543130    0.080886
     0.526439    0.082945
     0.509774    0.084847
     0.493119    0.086585
     0.476452    0.088158
     0.459769    0.089569
     0.443088    0.090817
     0.426433    0.091892
     0.409803    0.092778
     0.393156    0.093473
     0.376464    0.093988
     0.359757    0.094335
     0.343077    0.094509
     0.326453    0.094501
     0.309919    0.094289
     0.293471    0.093845
     0.277038    0.093156
     0.260592    0.092229
     0.244185    0.091071
     0.227833    0.089669
     0.211525    0.088016
     0.195312    0.086115
     0.179327    0.083947
     0.163598    0.081449
     0.148065    0.078565
     0.132708    0.075276
     0.117572    0.071572
     0.102729    0.067434
     0.088265    0.062838
     0.074264    0.057756
     0.060813    0.052183
     0.048227    0.046256
     0.037025    0.040171
     0.027549    0.034112
     0.019973    0.028419
     0.014228    0.023366
     0.009985    0.018971
     0.006863    0.015138
     0.004544    0.011780
     0.002800    0.008821
     0.001502    0.006167
     0.000597    0.003732
     0.000097    0.001452
     0.000027   -0.000735
     0.000449   -0.002930
     0.001453   -0.005133
     0.003022   -0.007231
     0.005138   -0.009247
     0.007842   -0.011250
     0.011273   -0.013314
     0.015691   -0.015491
     0.021509   -0.017813
     0.029303   -0.020288
     0.039603   -0.022849
     0.052408   -0.025359
     0.066967   -0.027614
     0.082547   -0.029534
     0.098607   -0.031128
     0.114931   -0.032400
     0.131518   -0.033415
     0.148289   -0.034239
     0.165123   -0.034897
     0.181987   -0.035389
     0.198914   -0.035734
     0.215914   -0.035960
     0.232968   -0.036090
     0.250050   -0.036135
     0.267154   -0.036100
     0.284272   -0.035994
     0.301385   -0.035816
     0.318480   -0.035564
     0.335556   -0.035235
     0.352613   -0.034825
     0.369648   -0.034330
     0.386654   -0.033745
     0.403646   -0.033063
     0.420648   -0.032277
     0.437697   -0.031398
     0.454815   -0.030445
     0.471972   -0.029438
     0.489140   -0.028387
     0.506307   -0.027291
     0.523466   -0.026151
     0.540626   -0.024965
     0.557800   -0.023736
     0.574993   -0.022468
     0.592209   -0.021172
     0.609448   -0.019853
     0.626699   -0.018521
     0.643942   -0.017186
     0.661169   -0.015852
     0.678382   -0.014527
     0.695581   -0.013214
     0.712758   -0.011918
     0.729904   -0.010648
     0.747018   -0.009417
     0.764100   -0.008233
     0.781150   -0.007109
     0.798174   -0.006052
     0.815191   -0.005069
     0.832175   -0.004168
     0.849123   -0.003365
     0.866088   -0.002665
     0.883040   -0.002063
     0.900012   -0.001567
     0.917070   -0.001150
     0.934149   -0.000765
     0.951064   -0.000386
     0.967237   -0.000084
     0.981583   -0.000029
     0.993395   -0.000229
     1.000000   -0.000441

1.000031-->1.00  + supression : dans titre JCE22/05/20006
