S8023 (7.6%)
    1.000000000000000000  0.000285000229663705
    0.996860465165542609  0.000426657419938522
    0.987667471470570324  0.000924228417793831
    0.972779867959275735  0.001697718037954538
    0.952415626475226818  0.002621832504396256
    0.926750957199285130  0.003650731560644373
    0.896047065434322665  0.004836138124705461
    0.860663983232561325  0.006193446980764887
    0.821006551333444023  0.007740639484126283
    0.777526057978720653  0.009497192751045285
    0.730713166184849605  0.011504552255228015
    0.681172951186036379  0.013865440827641616
    0.629632625533110168  0.016571604619560896
    0.576775283200032240  0.019477085967785978
    0.523227878685943226  0.022490354179291093
    0.469627755350462750  0.025517241217949491
    0.416610842994177721  0.028465733421975822
    0.364803251464487666  0.031230352752437119
    0.314815151084515521  0.033704359733991746
    0.267233552014393583  0.035761038504738177
    0.222622209496315393  0.037261261587242842
    0.181439308478802075  0.037974645303483316
    0.144032853628182855  0.037772657651996881
    0.110697880019453465  0.036532020161409322
    0.081662932847966774  0.034192754070432436
    0.057075373631417570  0.030658908924447632
    0.036961101205053803  0.025971360945089068
    0.021307693373852521  0.020155980277975653
    0.009882008578963597  0.013424939432427853
    0.002583104697879479  0.006417851352989779
    0.000000000000000000  0.000000000000000000
    0.002583104697879479 -0.006417851352989779
    0.009882008578963597 -0.013424939432427853
    0.021307693373852521 -0.020155980277975653
    0.036961101205053803 -0.025971360945089068
    0.057075373631417570 -0.030658908924447632
    0.081662932847966774 -0.034192754070432436
    0.110697880019453465 -0.036532020161409322
    0.144032853628182855 -0.037772657651996881
    0.181439308478802075 -0.037974645303483316
    0.222622209496315393 -0.037261261587242842
    0.267233552014393583 -0.035761038504738177
    0.314815151084515521 -0.033704359733991746
    0.364803251464487666 -0.031230352752437119
    0.416610842994177721 -0.028465733421975822
    0.469627755350462750 -0.025517241217949491
    0.523227878685943226 -0.022490354179291093
    0.576775283200032240 -0.019477085967785978
    0.629632625533110168 -0.016571604619560896
    0.681172951186036379 -0.013865440827641616
    0.730713166184849605 -0.011504552255228015
    0.777526057978720653 -0.009497192751045285
    0.821006551333444023 -0.007740639484126283
    0.860663983232561325 -0.006193446980764887
    0.896047065434322665 -0.004836138124705461
    0.926750957199285130 -0.003650731560644373
    0.952415626475226818 -0.002621832504396256
    0.972779867959275735 -0.001697718037954538
    0.987667471470570324 -0.000924228417793831
    0.996860465165542609 -0.000426657419938522
    1.000000000000000000 -0.000285000229663705
