E64  (8.45%)                 
   1.00000  0.00000
   0.99679  0.00076
   0.98761  0.00311
   0.97324  0.00686
   0.95409  0.01145
   0.93022  0.01659
   0.90185  0.02223
   0.86942  0.02829
   0.83336  0.03455
   0.79408  0.04081
   0.75200  0.04691
   0.70756  0.05267
   0.66122  0.05793
   0.61344  0.06257
   0.56469  0.06646
   0.51543  0.06950
   0.46615  0.07162
   0.41731  0.07275
   0.36938  0.07288
   0.32280  0.07197
   0.27803  0.07004
   0.23547  0.06710
   0.19553  0.06322
   0.15858  0.05844
   0.12494  0.05285
   0.09490  0.04653
   0.06872  0.03960
   0.04658  0.03221
   0.02863  0.02453
   0.01496  0.01680
   0.00560  0.00931
   0.00056  0.00258
   0.00075 -0.00255
   0.00675 -0.00664
   0.01818 -0.01038
   0.03477 -0.01348
   0.05640 -0.01582
   0.08293 -0.01735
   0.11415 -0.01810
   0.14979 -0.01809
   0.18954 -0.01740
   0.23300 -0.01610
   0.27973 -0.01431
   0.32924 -0.01212
   0.38098 -0.00965
   0.43439 -0.00701
   0.48884 -0.00434
   0.54370 -0.00173
   0.59831  0.00069
   0.65199  0.00284
   0.70409  0.00461
   0.75392  0.00595
   0.80082  0.00678
   0.84416  0.00709
   0.88331  0.00686
   0.91770  0.00612
   0.94675  0.00491
   0.96990  0.00333
   0.98661  0.00169
   0.99665  0.00046
   1.00000  0.00000
