AH-7-47-6 AIRFOIL
1.0000000 0.0035000
0.8998500 0.0340500
0.7997500 0.0546000
0.6996800 0.0706500
0.5996400 0.0807000
0.4996100 0.0862500
0.3996000 0.0878000
0.2996100 0.0858500
0.1996600 0.0759000
0.1497000 0.0676700
0.0997500 0.0564500
0.0747800 0.0488400
0.0498200 0.0392200
0.0248800 0.0271100
0.0124200 0.0180600
0.0000000 0.0000000
0.0125400 -.0079400
0.0250300 -.0058900
0.0500100 -.0032700
0.0750000 0.0003400
0.0999800 0.0034500
0.1499500 0.0106700
0.1999200 0.0169000
0.2998800 0.0273500
0.3998500 0.0343000
0.4998300 0.0377500
0.5998300 0.0387000
0.6998400 0.0361500
0.7998700 0.0291000
0.8999299 0.0160500
1.0000000 -.0035000
